company,opportunity_value,old_status_label,new_status_label,status_change_date,lead_created_date,current_lead_status,current_lead_status_date,current_opp_status,current_opp_status_date,billing_period_unit,billing_period
company11,29,MR - Qualification,AE - Qualified,2018-10-08 15:33:40,2018-10-08 11:47:55,Customer,2018-10-10 14:47:41,Paying,2018-10-18 12:25:32,month,1
company11,29,AE - Qualified,AE - Negotiation,2018-10-08 15:59:09,2018-10-08 11:47:55,Customer,2018-10-10 14:47:41,Paying,2018-10-18 12:25:32,month,1
company11,29,AE - Negotiation,Confirmed,2018-10-10 14:47:37,2018-10-08 11:47:55,Customer,2018-10-10 14:47:41,Paying,2018-10-18 12:25:32,month,1
company11,29,Confirmed,Paying,2018-10-18 12:25:32,2018-10-08 11:47:55,Customer,2018-10-10 14:47:41,Paying,2018-10-18 12:25:32,month,3
company15,272,MR - Qualification,AE - Qualified,2019-04-03 12:59:46,2019-04-01 09:54:41,Qualified,2019-04-03 12:57:49,AE - Qualified,2019-04-03 12:59:46,year,1
company16,337,SD - Engaged,AE - Qualified,2019-03-04 11:05:14,2019-02-25 14:39:26,Qualified,2019-03-04 11:04:42,AE - Qualified,2019-03-04 11:05:14,year,1
company17,800,MR - Qualification,SD - Interested,2018-10-15 07:01:15,2018-10-10 08:50:57,Qualified,2019-05-14 17:12:54,AE - Qualified,2019-05-14 17:15:49,year,1
company17,800,SD - Interested,SD - Engaged,2019-04-08 09:20:18,2018-10-10 08:50:57,Qualified,2019-05-14 17:12:54,AE - Qualified,2019-05-14 17:15:49,year,1
company17,800,SD - Engaged,AE - Qualified,2019-05-14 17:15:49,2018-10-10 08:50:57,Qualified,2019-05-14 17:12:54,AE - Qualified,2019-05-14 17:15:49,year,1
company20,266,SD - Interested,SD - Engaged,2019-02-19 13:47:34,2019-02-18 14:28:34,Qualified,2019-02-21 9:30:51,AE - Qualified,2019-02-21 09:30:41,year,1
company20,266,SD - Engaged,AE - Qualified,2019-02-21 09:30:41,2019-02-18 14:28:34,Qualified,2019-02-21 9:30:51,AE - Qualified,2019-02-21 09:30:41,year,1
company22,177,MR - Qualification,AE - Qualified,2019-02-28 10:49:34,2019-02-19 16:21:10,Qualified,2019-02-28 10:47:57,AE - Qualified,2019-02-28 10:49:34,year,1
company23,580,MR - Qualification,AE - Qualified,2018-08-30 12:07:31,2018-08-29 08:25:45,Qualified,2018-08-30 12:07:41,AE - Qualified,2018-08-30 12:07:31,year,1
company24,1619,SD - Interested,SD - Engaged,2019-03-13 09:40:35,2019-02-27 12:09:00,Pre-qualified Outbound,2019-03-13 9:40:38,SD - Engaged,2019-03-13 09:40:35,year,1
company25,163,SD - Interested,SD - Engaged,2019-03-11 11:12:53,2019-02-25 13:48:42,Pre-qualified Outbound,2019-02-26 16:41:07,SD - Engaged,2019-03-11 11:12:53,year,1
company26,392,SD - Engaged,AE - Qualified,2019-03-08 15:03:14,2019-02-21 13:32:46,Qualified,2019-03-08 14:54:29,AE - Qualified,2019-03-08 15:03:14,year,1
company27,500,SD - Interested,SD - Engaged,2019-01-29 15:19:25,2019-01-24 09:58:55,Qualified,2019-02-13 13:58:50,AE - Qualified,2019-02-13 14:44:21,year,1
company27,500,SD - Engaged,AE - Qualified,2019-02-13 14:44:21,2019-01-24 09:58:55,Qualified,2019-02-13 13:58:50,AE - Qualified,2019-02-13 14:44:21,year,1
company29,68,AE - Qualified,Confirmed,2017-11-28 13:25:59,2017-11-09 12:28:16,Customer,2017-11-28 13:26:11,Paying,2018-01-03 03:14:20,month,5
company29,68,Confirmed,Paying,2018-01-03 03:14:20,2017-11-09 12:28:16,Customer,2017-11-28 13:26:11,Paying,2018-01-03 03:14:20,month,2
company31,66,AE - Qualified,Opp - Lost,2017-11-13 15:19:06,2017-10-25 10:36:34,Lost,2017-11-13 15:18:58,Opp - Lost,2017-11-13 15:19:06,month,2
company32,418,MR - Qualification,AE - Qualified,2018-08-13 14:24:45,2018-08-13 12:27:26,Lost,2018-09-14 13:05:34,Opp - Lost,2018-09-14 13:05:44,year,1
company32,418,AE - Qualified,Opp - Lost,2018-09-14 13:05:44,2018-08-13 12:27:26,Lost,2018-09-14 13:05:34,Opp - Lost,2018-09-14 13:05:44,year,1
